frame,time_seconds,plate_text,plate_confidence,car_box,plate_box_in_frame
105,4.2,E48254S,0.0583,"(374, 349, 787, 716)","(482, 623, 573, 652)"
105,4.2,A6060,0.3397,"(1488, 0, 1764, 277)","(1574, 221, 1640, 244)"
106,4.24,LA8254S,0.1723,"(373, 349, 787, 716)","(481, 624, 573, 653)"
106,4.24,R6O6L,0.0683,"(1489, 0, 1759, 282)","(1572, 225, 1639, 246)"
107,4.28,LA8254S,0.1934,"(373, 349, 787, 716)","(481, 624, 573, 653)"
107,4.28,RO06L,0.2115,"(1486, 0, 1759, 286)","(1571, 227, 1638, 250)"
108,4.32,E48254S,0.0989,"(374, 349, 787, 716)","(482, 623, 573, 652)"
108,4.32,AGO6L,0.4231,"(1485, 0, 1757, 291)","(1569, 229, 1637, 253)"
109,4.36,482545,0.1308,"(374, 348, 787, 716)","(482, 623, 574, 653)"
109,4.36,RGOSU,0.0532,"(1483, 0, 1755, 294)","(1569, 233, 1636, 256)"
110,4.4,482545,0.1322,"(374, 348, 787, 716)","(482, 623, 574, 653)"
110,4.4,RGO6L,0.0807,"(1483, 0, 1752, 296)","(1567, 237, 1635, 261)"
111,4.44,E48254S,0.0957,"(374, 349, 787, 716)","(482, 623, 573, 652)"
111,4.44,TA606L,0.0671,"(1474, 0, 1752, 301)","(1566, 242, 1634, 264)"
112,4.48,E48254S,0.1224,"(374, 349, 787, 716)","(482, 623, 573, 652)"
112,4.48,RGO6L,0.1904,"(1478, 0, 1750, 303)","(1564, 244, 1632, 268)"
113,4.52,E482545,0.1381,"(374, 349, 787, 716)","(482, 623, 573, 652)"
113,4.52,REO6L,0.1962,"(1478, 0, 1749, 305)","(1564, 249, 1631, 271)"
114,4.56,E482545,0.1385,"(374, 349, 787, 716)","(482, 623, 573, 652)"
114,4.56,36062,0.2934,"(1476, 0, 1748, 308)","(1562, 252, 1631, 275)"
115,4.6,LA8254S,0.1471,"(374, 349, 788, 716)","(482, 624, 573, 653)"
115,4.6,36OOL,0.0458,"(1475, 0, 1747, 314)","(1561, 255, 1630, 279)"
116,4.64,482545,0.1162,"(374, 348, 787, 716)","(482, 623, 574, 653)"
